OBJECTID *,Shape *,Administrative Unit Code,Administrative Unit Name,BLM Organization Type,Approval Date,Effective Date,State Office URL,Parent Admin Code,Parent Name,Administrative State Code,Shape_Length,Shape_Area
106,Polygon,BASIN & RANGE NATIONAL MONUMENT,Basin and Range NM Field Office,Administrative Field Office,7/10/2015,1/14/2016,http://www.blm.gov/nv/st/en.html,ELY DISTRICT OFFICE,Ely District,Nevada,496623.8717,4613914564
107,Polygon,NORTH DAKOTA FIELD OFFICE,NORTH DAKOTA FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,EASTERN MONTANA/DAKS DISTRICT OFFICE,EASTERN MONTANA/DAKS DISTRICT OFFICE,Montana,3127138.737,4.00363E+11
108,Polygon,LAS VEGAS FIELD OFFICE,Las Vegas Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,SOUTHERN NEVADA DISTRICT OFFICE,Southern Nevada District,Nevada,1493042.85,29758985010
109,Polygon,MOTHERLODE FIELD OFFICE,Mother Lode Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CENTRAL CALIFORNIA DISTRICT,Central California District,California,1671149.943,68835253054
110,Polygon,SHOSHONE FIELD OFFICE,Shoshone Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,TWIN FALLS DISTRICT OFFICE,Twin Falls District Office,Idaho,1178145.943,32634875853
111,Polygon,GUNNISON FIELD OFFICE,GUNNISON FIELD OFFICE,Administrative Field Office,5/20/2016,10/3/2016,https://www.blm.gov/office/gunnison-field-office,SOUTHWEST DISTRICT OFFICE,SOUTHWEST DISTRICT OFFICE,Colorado,804447.9688,16941767514
112,Polygon,STILLWATER FIELD OFFICE,Stillwater Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,CARSON CITY DISTRICT OFFICE,Carson City District,Nevada,1109702.604,36604168542
113,Polygon,PRINEVILLE CENTRAL OREGON FIELD OFFIC,PRINEVILLE CENTRAL OREGON FIELD OFFIC,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,PRINEVILLE DISTRICT OFFICE,PRINEVILLE DISTRICT OFFICE,Oregon,1633662.542,54818764034
114,Polygon,NEWCASTLE FIELD OFFICE,Newcastle Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WYOMING HIGH PLAINS DISTRICT OFFICE,High Plains District,Wyoming,3771707.427,3.97238E+11
115,Polygon,SIERRA FRONT FIELD OFFICE,Sierra Front Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,CARSON CITY DISTRICT OFFICE,Carson City District,Nevada,993761.7851,23727964982
116,Polygon,ROYAL GORGE FIELD OFFICE,ROYAL GORGE FIELD OFFICE,Administrative Field Office,8/26/2016,10/3/2016,https://www.blm.gov/office/royal-gorge-field-office,ROCKY MOUNTAIN DISTRICT OFFICE,ROCKY MOUNTAIN DISTRICT OFFICE,Colorado,2355735.277,2.39362E+11
117,Polygon,MISSOULA FIELD OFFICE,MISSOULA FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,WESTERN MONTANA DISTRICT OFFICE,WESTERN MONTANA DISTRICT OFFICE,Montana,2287787.445,1.34497E+11
118,Polygon,BAKERSFIELD FIELD OFFICE,Bakersfield Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CENTRAL CALIFORNIA DISTRICT,Central California District,California,2487228.376,1.07425E+11
119,Polygon,PRICE FIELD OFFICE,Price,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,GREEN RIVER DISTRICT OFFICE,Green River,Utah,832402.4302,25656796333
120,Polygon,GRAND JUNCTION FIELD OFFICE,GRAND JUNCTION FIELD OFFICE,Administrative Field Office,7/7/2011,7/7/2011,https://www.blm.gov/office/grand-junction-field-office,UPPER COLORADO RIVER DISTRICT OFFICE,UPPER COLORADO RIVER DISTRICT OFFICE,Colorado,773441.9076,16182574268
121,Polygon,WHITE RIVER FIELD OFFICE,WHITE RIVER FIELD OFFICE,Administrative Field Office,7/7/2011,7/7/2011,https://www.blm.gov/office/white-river-field-office,NORTHWEST DISTRICT OFFICE,NORTHWEST DISTRICT OFFICE,Colorado,960315.5323,18378235078
122,Polygon,HUMBOLDT RIVER FIELD OFFICE,Humboldt River Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,WINNEMUCCA DISTRICT OFFICE,Winnemucca District,Nevada,1545386.175,62997866804
123,Polygon,BRUNEAU FIELD OFFICE,Bruneau Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,BOISE DISTRICT OFFICE,Boise District Office,Idaho,688148.8704,14186215305
124,Polygon,RED ROCK/SLOAN CANYON NCA FIELD OFFIC,Red Rock/Sloan Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,SOUTHERN NEVADA DISTRICT OFFICE,Southern Nevada District,Nevada,400242.0788,1555353893
125,Polygon,SPOKANE BORDER FIELD OFFICE,SPOKANE BORDER FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,SPOKANE DISTRICT OFFICE,SPOKANE DISTRICT OFFICE,Oregon,1686234.211,1.17494E+11
